hash	dist	omega	phi1	phi2	psi1	psi2	ids	idcount	id_unique
6605659767556	6	2	0	1	3	4	3:1,1:1,0:1	3	3
8796109865475	8	0	1	1	2	3	2:2	2	1
6597069766914	6	0	0	0	1	2	3:4,1:1,2:5,0:1	11	4
3302829981953	3	1	0	2	1	1	3:1	1	1
7700876493827	7	1	0	2	4	3	2:1	1	1
4402341479171	4	1	0	0	3	3	3:2	2	1
7705188107010	7	2	1	0	3	2	3:1,1:1,2:4	6	3
6597069897988	6	0	0	2	1	4	3:2,0:1,2:1	4	3
3302829851651	3	1	0	0	4	3	2:3,0:1	4	2
3307124818178	3	2	0	0	1	2	2:1	1	1
4406636446722	4	2	0	0	4	2	2:2,1:1,0:2	5	3
4406653223940	4	2	1	0	4	4	2:1,0:1	2	2
11003706278658	10	2	0	1	3	2	2:1	1	1
5506181628420	5	2	2	0	2	4	1:1,2:2	3	2
7696581395714	7	0	0	0	5	2	2:2	2	1
10999411246081	10	1	0	0	4	1	2:1	1	1
8796109930756	8	0	1	2	1	4	3:1	1	1
6605676479490	6	2	1	0	4	2	0:2	2	1
10999428154113	10	1	1	2	3	1	1:1	1	1
4402341610244	4	1	0	2	3	4	2:1,3:1	2	2
4406636511747	4	2	0	1	2	3	1:1	1	1
6605693387010	6	2	2	2	1	2	0:1,2:1,3:1	3	3
8796093154308	8	0	0	2	4	4	2:2	2	1
11003722990338	10	2	1	0	3	2	2:2	2	1
7696615080196	7	0	2	2	1	4	2:2,1:1,0:1,3:1	5	4
9899933172483	9	1	2	0	3	3	2:1	1	1
6601364733953	6	1	0	0	0	1	2:1	1	1
4402375033345	4	1	2	0	2	1	0:1,1:1	2	2
7705204883712	7	2	2	0	1	0	3:1	1	1
11003723121669	10	2	1	2	4	5	1:1	1	1
3298568439044	3	0	2	0	5	4	1:1	1	1
7705171329793	7	2	0	0	3	1	3:2,2:3,1:4,0:3	12	4
5506181628673	5	2	2	0	3	1	1:1	1	1
7696615080453	7	0	2	2	2	5	2:1	1	1
9899933171970	9	1	2	0	1	2	3:1,2:1,0:1,1:2	5	4
6597069833474	6	0	0	1	5	2	0:1	1	1
