hash	dist	omega	phi1	phi2	psi1	psi2	ids	idcount	id_unique
4402375098883	4	1	2	1	2	3	2:1	1	1
6601381642753	6	1	1	2	2	1	3:1	1	1
9904211427585	9	2	1	1	1	1	2:4	4	1
8800421675523	8	1	2	2	2	3	2:1,3:3	4	2
9899933172225	9	1	2	0	2	1	2:2,3:1	3	2
6597069833218	6	0	0	1	4	2	1:2,0:1,2:1	4	3
6597103321601	6	0	2	0	2	1	3:2,1:1,0:2,2:1	6	4
6597103387394	6	0	2	1	3	2	1:11,3:1,2:9,0:9	30	4
4398063289090	4	0	1	0	3	2	0:1,2:3	4	2
3302829916674	3	1	0	1	2	2	1:1	1	1
11003739766785	10	2	2	0	0	1	1:1	1	1
2199023387651	2	0	0	2	4	3	1:1,2:2,0:2,3:1	6	4
10995133054978	10	0	1	0	0	2	2:1,3:1	2	2
4398080197377	4	0	2	2	3	1	0:1,1:1,2:1	3	3
10995116410113	10	0	0	2	5	1	2:1	1	1
8800421675266	8	1	2	2	1	2	1:1	1	1
3307124818435	3	2	0	0	2	3	0:2,1:2,2:2	6	3
8800387990017	8	1	0	0	2	1	2:1,0:1,3:1,1:3	6	4
4398080066564	4	0	2	0	4	4	1:1,3:1,2:1	3	3
5497575047429	5	0	1	2	1	5	3:1	1	1
6601364734978	6	1	0	0	4	2	0:1,1:1,2:3,3:2	7	4
9904228270337	9	2	2	2	1	1	1:2,0:2	4	2
6597069766657	6	0	0	0	0	1	1:1	1	1
6601398288898	6	1	2	0	2	2	0:1,3:1	2	2
6597086544131	6	0	1	0	1	3	0:1,3:2,2:2	5	3
8800421544964	8	1	2	0	4	4	0:1	1	1
4398046512388	4	0	0	0	5	4	1:1	1	1
5506148073731	5	2	0	0	1	3	1:2,0:2,3:2,2:2	8	4
7696598172161	7	0	1	0	2	1	2:2,3:2	4	2
4402375033089	4	1	2	0	1	1	1:2,2:1,0:1	4	3
2203351777794	2	1	2	0	2	2	0:1,3:1	2	2
6605659702020	6	2	0	0	3	4	2:1	1	1
6597086675972	6	0	1	2	4	4	1:1,0:1	2	2
2207613321987	2	2	0	2	3	3	0:1,1:1	2	2
4402341479169	4	1	0	0	3	1	2:1	1	1
8796093088770	8	0	0	1	4	2	3:2,2:1	3	2
9895638270211	9	0	2	1	1	3	2:1	1	1
7696598303748	7	0	1	2	4	4	1:1	1	1
4402341609986	4	1	0	2	2	2	1:2	2	1
6597069832708	6	0	0	1	2	4	2:1,1:1,3:1,0:1	4	4
7705188107269	7	2	1	0	4	5	1:1	1	1
7696581460738	7	0	0	1	3	2	0:2,2:1	3	2
6597069767683	6	0	0	0	4	3	3:4,1:1,2:3,0:2	10	4
3307158503684	3	2	2	2	1	4	0:1	1	1
7705171330305	7	2	0	0	5	1	1:1	1	1
10999444799747	10	1	2	0	1	3	0:1,1:1	2	2
5497591824387	5	0	2	2	0	3	0:1	1	1
3298568569601	3	0	2	2	3	1	0:3,1:1	4	2
6601398420225	6	1	2	2	3	1	2:1,0:1,1:5,3:2	9	4
6597086610690	6	0	1	1	5	2	2:1	1	1
7705171329282	7	2	0	0	1	2	2:1,1:3,0:3,3:5	12	4
6601364799747	6	1	0	1	1	3	1:1	1	1
8800388120577	8	1	0	2	0	1	2:1	1	1
5506164851715	5	2	1	0	4	3	2:1	1	1
7696598172417	7	0	1	0	3	1	0:1,1:1,2:2	4	3
6597069767170	6	0	0	0	2	2	2:12,3:2,1:16,0:6	36	4
7696598237442	7	0	1	1	1	2	3:2	2	1
9904194585348	9	2	0	0	3	4	2:2,3:1,1:2	5	3
8796093023233	8	0	0	0	4	1	1:5,2:9,3:3,0:2	19	4
9904194716417	9	2	0	2	3	1	0:2,2:3	5	2
8804699735044	8	2	1	0	4	4	1:2	2	1
7700893139459	7	1	1	0	2	3	2:1	1	1
3302829982466	3	1	0	2	3	2	3:1	1	1
6597069832707	6	0	0	1	2	3	0:3,3:3,2:5,1:3	14	4
4398063288833	4	0	1	0	2	1	1:20,3:21,2:23,0:18	82	4
5501869884675	5	1	1	0	5	3	3:1	1	1
6605659702275	6	2	0	0	4	3	2:1	1	1
3298534884099	3	0	0	0	3	3	2:4,0:2	6	2
4398046642692	4	0	0	2	2	4	1:1,3:2	3	2
3298551661313	3	0	1	0	3	1	2:1,0:3,1:1	5	3
6597069766915	6	0	0	0	1	3	2:3,0:3,3:2,1:2	10	4
3302863536898	3	1	2	2	3	2	0:4,3:4,1:9,2:5	22	4
10995116409088	10	0	0	2	1	0	0:1	1	1
4398046642947	4	0	0	2	3	3	2:3,1:1,0:1	5	3
7705171329536	7	2	0	0	2	0	3:2,0:1	3	2
7700876493060	7	1	0	2	1	4	0:2	2	1
5497574916612	5	0	1	0	2	4	2:1,1:1,0:1	3	3
4398046511363	4	0	0	0	1	3	2:1,1:1,3:1	3	3
6601364865539	6	1	0	2	2	3	0:2	2	1
10995133055747	10	0	1	0	3	3	2:1	1	1
7705171395076	7	2	0	1	2	4	0:1,1:1,3:1	3	3
8804716642817	8	2	2	2	2	1	2:1	1	1
5497591759872	5	0	2	1	4	0	2:1	1	1
4398063288578	4	0	1	0	1	2	2:1	1	1
10995149832193	10	0	2	0	0	1	0:1	1	1
9899916525826	9	1	1	2	1	2	3:1	1	1
6601381511171	6	1	1	0	0	3	1:1,3:1	2	2
8796093088513	8	0	0	1	3	1	3:1,1:1,0:1	3	3
5506164851714	5	2	1	0	4	2	3:2,0:2,1:1	5	3
6597103452675	6	0	2	2	2	3	3:8,0:5,1:6,2:9	28	4
7696598172163	7	0	1	0	2	3	0:2,2:1	3	2
6597069767428	6	0	0	0	3	4	3:4,1:1,2:3,0:2	10	4
6601364734722	6	1	0	0	3	2	1:2,0:1,2:2	5	3
8804683088644	8	2	0	2	3	4	1:1	1	1
11003739767297	10	2	2	0	2	1	2:1,3:1	2	2
8804699734528	8	2	1	0	2	0	1:1	1	1
9904194716675	9	2	0	2	4	3	2:3	3	1
2199023321860	2	0	0	1	3	4	1:1	1	1
11003706344195	10	2	0	2	3	3	2:1,1:1	2	2
8796093088003	8	0	0	1	1	3	1:3,3:2,2:2	7	3
8800388055298	8	1	0	1	1	2	2:3,0:1	4	2
9895604650499	9	0	0	0	2	3	2:10,1:7,0:3,3:1	21	4
4406636577540	4	2	0	2	3	4	1:1,2:1	2	2
4398080066563	4	0	2	0	4	3	0:2,1:1,2:3,3:2	8	4
7705171395074	7	2	0	1	2	2	1:1,0:1	2	2
8796109800448	8	0	1	0	4	0	1:1	1	1
4406670131969	4	2	2	2	3	1	3:1	1	1
5506164916226	5	2	1	1	0	2	3:1	1	1
5506148073988	5	2	0	0	2	4	1:3,2:1	4	2
3298568438788	3	0	2	0	4	4	0:1,3:1,2:2,1:1	5	4
5497591824643	5	0	2	2	1	3	1:12,0:7,2:11,3:8	38	4
4406653354755	4	2	1	2	3	3	1:3	3	1
8796126577155	8	0	2	0	2	3	2:5,0:2,1:5,3:1	13	4
4398046511616	4	0	0	0	2	0	0:1,3:1	2	2
7696581526020	7	0	0	2	2	4	3:1,1:1	2	2
9895621493763	9	0	1	1	4	3	3:1	1	1
9899899617539	9	1	0	0	1	3	0:2,2:3	5	2
6601398288897	6	1	2	0	2	1	1:1	1	1
3298535015429	3	0	0	2	4	5	1:1	1	1
4398063288576	4	0	1	0	1	0	2:1	1	1
5506148205314	5	2	0	2	3	2	1:1,2:4,3:1	6	3
7705171460356	7	2	0	2	1	4	1:2,0:1	3	2
7700893270529	7	1	1	2	2	1	2:2	2	1
4398080197633	4	0	2	2	4	1	2:1	1	1
6597103321603	6	0	2	0	2	3	3:2,2:3,0:1,1:2	8	4
4406636445954	4	2	0	0	1	2	1:1,2:1,0:1	3	3
5497558205186	5	0	0	1	3	2	3:1,0:1	2	2
4402341479427	4	1	0	0	4	3	0:1,2:1	2	2
6597069897987	6	0	0	2	1	3	2:2,0:2,3:2	6	3
9899899748866	9	1	0	2	2	2	3:1,1:3,2:2	6	3
5497591693570	5	0	2	0	1	2	1:1,2:1	2	2
8804683088388	8	2	0	2	2	4	2:1,3:1	2	2
9895604781827	9	0	0	2	3	3	1:1,2:2	3	2
8804683088131	8	2	0	2	1	3	2:3,3:1,0:2	6	3
8796109931265	8	0	1	2	3	1	1:3,2:2,0:2	7	3
4398063289349	4	0	1	0	4	5	2:1	1	1
9899933172226	9	1	2	0	2	2	2:2,3:1,1:3	6	3
9904194650372	9	2	0	1	1	4	1:1,3:1	2	2
5501853107203	5	1	0	0	4	3	2:1,3:1	2	2
3298551661058	3	0	1	0	2	2	2:3,0:1	4	2
8800404832513	8	1	1	1	1	1	3:2	2	1
6601381511682	6	1	1	0	2	2	3:1	1	1
6597069897986	6	0	0	2	1	2	0:2,1:1,2:1,3:2	6	4
8804683088642	8	2	0	2	3	2	3:2,2:1,0:1,1:3	7	4
8800388121602	8	1	0	2	4	2	3:1	1	1
5497591759876	5	0	2	1	4	4	1:1	1	1
6605659701764	6	2	0	0	2	4	2:2,3:3	5	2
7696598303234	7	0	1	2	2	2	0:1,2:2,1:2	5	3
10995149832963	10	0	2	0	3	3	2:3,1:2	5	2
6601398289412	6	1	2	0	4	4	2:1	1	1
7705204883969	7	2	2	0	2	1	1:1	1	1
10999411245315	10	1	0	0	1	3	3:1	1	1
7696581394947	7	0	0	0	2	3	3:3,0:5,1:7,2:8	23	4
3307124950019	3	2	0	2	4	3	3:1	1	1
3298534884097	3	0	0	0	3	1	1:2,3:2,2:2,0:1	7	4
7696581394946	7	0	0	0	2	2	0:6,1:10,2:24,3:16	56	4
6597103387138	6	0	2	1	2	2	2:4	4	1
3302829851139	3	1	0	0	2	3	2:1	1	1
8796093153281	8	0	0	2	0	1	1:1	1	1
3302846693891	3	1	1	1	2	3	0:2,3:1	3	2
8800421544706	8	1	2	0	3	2	3:2	2	1
9895604649985	9	0	0	0	0	1	3:2,2:1,0:1	4	3
3298534948868	3	0	0	1	0	4	1:1	1	1
9895604781570	9	0	0	2	2	2	0:3,1:5,2:7,3:5	20	4
8804716642305	8	2	2	2	0	1	0:1	1	1
8796093022720	8	0	0	0	2	0	0:1,1:1,2:3	5	3
7696614949379	7	0	2	0	2	3	0:4,2:4,1:2,3:3	13	4
8796109800194	8	0	1	0	3	2	2:3,3:1,1:2	6	3
5506164916737	5	2	1	1	2	1	1:1	1	1
8800388055808	8	1	0	1	3	0	0:1	1	1
8796093088516	8	0	0	1	3	4	2:1,3:1,1:1	3	3
11003739898370	10	2	2	2	2	2	2:2	2	1
7700876428034	7	1	0	1	3	2	2:1	1	1
6605693387524	6	2	2	2	3	4	2:1,3:1	2	2
10995133055745	10	0	1	0	3	1	2:1	1	1
8796126642432	8	0	2	1	1	0	2:1	1	1
7700893139970	7	1	1	0	4	2	2:1	1	1
8796109799938	8	0	1	0	2	2	3:1,1:2,0:2,2:2	7	4
10995133055489	10	0	1	0	2	1	0:1,2:1	2	2
5501869949188	5	1	1	1	1	4	2:1	1	1
8800388121089	8	1	0	2	2	1	0:3,2:3,1:2,3:1	9	4
5497558269956	5	0	0	2	0	4	3:1	1	1
9895638204931	9	0	2	0	2	3	3:1,2:1,1:2	4	3
8804682956801	8	2	0	0	0	1	2:4	4	1
4398080197632	4	0	2	2	4	0	2:1	1	1
3307158504708	3	2	2	2	5	4	2:1	1	1
6601398354180	6	1	2	1	1	4	1:2	2	1
6597103321345	6	0	2	0	1	1	2:1,0:2	3	2
3302829982725	3	1	0	2	4	5	3:1	1	1
9904211427584	9	2	1	1	1	0	0:1,1:1	2	2
7705171330051	7	2	0	0	4	3	1:1,2:2	3	2
7705171460866	7	2	0	2	3	2	2:2,3:1,1:1,0:2	6	4
8800404767236	8	1	1	0	2	4	0:1	1	1
7696581394435	7	0	0	0	0	3	0:1,1:2,2:1	4	3
6601364866305	6	1	0	2	5	1	0:1	1	1
6601364800261	6	1	0	1	3	5	0:1	1	1
8800421675521	8	1	2	2	2	1	1:1	1	1
8796126577668	8	0	2	0	4	4	2:2	2	1
9899933172229	9	1	2	0	2	5	2:1	1	1
4398046643202	4	0	0	2	4	2	2:1	1	1
7705171394820	7	2	0	1	1	4	0:1,3:1	2	2
8796126707971	8	0	2	2	1	3	2:11,1:12,3:4,0:6	33	4
4402341544194	4	1	0	1	1	2	0:1,2:1	2	2
10995116409089	10	0	0	2	1	1	3:1,2:2,0:1	4	3
5506164851458	5	2	1	0	3	2	3:1,1:1	2	2
3302846759427	3	1	1	2	2	3	1:8,0:10,2:8,3:1	27	4
9904228139521	9	2	2	0	2	1	0:4,1:3,2:1	8	3
5497558205185	5	0	0	1	3	1	0:2	2	1
6597069897729	6	0	0	2	0	1	0:1,2:1,1:1	3	3
5497558139905	5	0	0	0	4	1	1:2,3:6,0:1,2:1	10	4
7696598238210	7	0	1	1	4	2	2:1	1	1
8800421609987	8	1	2	1	2	3	3:1,2:1	2	2
6597086609922	6	0	1	1	2	2	2:2	2	1
3298568504324	3	0	2	1	4	4	2:1,0:1	2	2
10995149964547	10	0	2	2	5	3	0:1	1	1
6597086544389	6	0	1	0	2	5	0:1	1	1
10995149832962	10	0	2	0	3	2	1:2,0:1,3:1,2:1	5	4
6597103452418	6	0	2	2	1	2	2:1,3:2	3	2
3298568569861	3	0	2	2	4	5	0:1	1	1
6605693255940	6	2	2	0	1	4	1:1,0:1,2:1,3:1	4	4
4398046643460	4	0	0	2	5	4	2:1	1	1
3298534949891	3	0	0	1	4	3	3:1	1	1
11003739767301	10	2	2	0	2	5	3:1	1	1
4398046642436	4	0	0	2	1	4	1:1,2:1	2	2
3302863405572	3	1	2	0	2	4	1:1	1	1
10995149963524	10	0	2	2	1	4	1:1	1	1
4398046642177	4	0	0	2	0	1	1:1	1	1
5506181628418	5	2	2	0	2	2	1:3	3	1
4406670132229	4	2	2	2	4	5	3:1	1	1
9895604716289	9	0	0	1	3	1	2:3,0:1	4	2
8796093088002	8	0	0	1	1	2	0:1,2:3,1:1	5	3
6605693256708	6	2	2	0	4	4	2:1,1:2	3	2
7696581395716	7	0	0	0	5	4	0:1	1	1
6601364734468	6	1	0	0	2	4	0:1,1:1,3:2,2:3	7	4
7696581394948	7	0	0	0	2	4	0:5,1:6,3:3,2:7	21	4
11003706278659	10	2	0	1	3	3	0:1	1	1
7700876427525	7	1	0	1	1	5	1:1	1	1
6601364865284	6	1	0	2	1	4	3:1	1	1
7705204949507	7	2	2	1	2	3	3:1,0:1	2	2
10995116278786	10	0	0	0	4	2	1:1,0:1,2:1	3	3
5506148140289	5	2	0	1	5	1	0:1	1	1
6597069767939	6	0	0	0	5	3	3:1	1	1
8804683022338	8	2	0	1	0	2	1:1	1	1
4402341544451	4	1	0	1	2	3	0:1,2:1	2	2
8796093153796	8	0	0	2	2	4	1:2,0:1,3:1,2:2	6	4
8796126577667	8	0	2	0	4	3	2:1,1:3,0:1	5	3
6605676479235	6	2	1	0	3	3	2:1	1	1
5501853238273	5	1	0	2	4	1	2:1	1	1
5506164982786	5	2	1	2	4	2	3:1	1	1
8796126577154	8	0	2	0	2	2	1:3,3:5,0:1,2:6	15	4
9904194585093	9	2	0	0	2	5	3:1,1:1	2	2
5501853106436	5	1	0	0	1	4	2:2,3:1	3	2
3307158504451	3	2	2	2	4	3	2:1	1	1
2207613190914	2	2	0	0	3	2	2:1	1	1
7705171329285	7	2	0	0	1	5	1:1	1	1
7700893139203	7	1	1	0	1	3	0:1,2:1	2	2
7705171329027	7	2	0	0	0	3	2:1	1	1
5497591824641	5	0	2	2	1	1	0:2	2	1
9895638270977	9	0	2	1	4	1	0:2	2	1
9899899618305	9	1	0	0	4	1	2:2	2	1
3302829982469	3	1	0	2	3	5	3:1	1	1
3298535014658	3	0	0	2	1	2	0:2,1:1,2:2	5	3
3302829851908	3	1	0	0	5	4	0:1	1	1
5506148074496	5	2	0	0	4	0	2:1,0:1	2	2
5501886661123	5	1	2	0	2	3	2:4,1:2,0:2	8	3
7700910048001	7	1	2	2	3	1	0:1,2:1	2	2
9895638204930	9	0	2	0	2	2	0:3,2:7,3:5,1:5	20	4
7705204884227	7	2	2	0	3	3	0:2,1:1,2:3	6	3
9899916395011	9	1	1	0	2	3	0:1,2:1,3:1	3	3
6597069833217	6	0	0	1	4	1	0:1,1:1	2	2
8796093154305	8	0	0	2	4	1	0:1,1:1,2:2,3:1	5	4
7705204949506	7	2	2	1	2	2	1:2,3:1	3	2
2203318288643	2	1	0	1	1	3	2:1	1	1
9904194650370	9	2	0	1	1	2	2:3	3	1
9904194650369	9	2	0	1	1	1	3:1,0:2	3	2
8804716511493	8	2	2	0	1	5	0:1	1	1
7696581525763	7	0	0	2	1	3	3:4,0:1,2:2	7	3
3307158438658	3	2	2	1	3	2	0:1,2:2,3:2,1:5	10	4
7696598172418	7	0	1	0	3	2	1:1,2:2	3	2
6605693256449	6	2	2	0	3	1	1:2,2:1,3:4	7	3
8796093022212	8	0	0	0	0	4	2:1,0:1,1:1	3	3
9895604651265	9	0	0	0	5	1	1:3	3	1
9899933238275	9	1	2	1	4	3	0:1	1	1
2203351777796	2	1	2	0	2	4	2:1	1	1
8804682957314	8	2	0	0	2	2	1:2,0:4,2:4	10	3
3307124949762	3	2	0	2	3	2	0:2,3:1	3	2
4406636512260	4	2	0	1	4	4	0:1,2:1	2	2
7705171460354	7	2	0	2	1	2	1:1	1	1
7696614949632	7	0	2	0	3	0	1:1,2:1,3:1	3	3
3298568569602	3	0	2	2	3	2	3:1,1:1,2:3	5	3
2199023321602	2	0	0	1	2	2	1:1	1	1
7705171460612	7	2	0	2	2	4	1:1,2:1	2	2
3307124949763	3	2	0	2	3	3	0:1	1	1
8796109930752	8	0	1	2	1	0	1:1,0:1	2	2
7700876427267	7	1	0	1	0	3	0:1	1	1
7696581526276	7	0	0	2	3	4	1:1,3:1,2:2,0:2	6	4
5497574916864	5	0	1	0	3	0	0:1,1:1	2	2
3298551660803	3	0	1	0	1	3	3:4,2:7,0:6,1:8	25	4
3302863406083	3	1	2	0	4	3	1:1	1	1
4398080066565	4	0	2	0	4	5	2:1	1	1
11003723121154	10	2	1	2	2	2	2:1	1	1
7705171460865	7	2	0	2	3	1	0:2,1:3,3:2,2:3	10	4
6605659767040	6	2	0	1	1	0	2:1	1	1
7696615014660	7	0	2	1	1	4	0:1,1:1	2	2
4406636446210	4	2	0	0	2	2	0:2,1:2,2:2,3:4	10	4
4406653354499	4	2	1	2	2	3	0:1	1	1
3298551791873	3	0	1	2	1	1	0:2,1:1,2:2	5	3
4398046643201	4	0	0	2	4	1	1:1,2:1,0:1	3	3
5497558270465	5	0	0	2	2	1	1:1,2:1	2	2
6597069767168	6	0	0	0	2	0	3:1,1:1	2	2
11003706343680	10	2	0	2	1	0	1:1	1	1
11003722990340	10	2	1	0	3	4	2:1	1	1
10995149897988	10	0	2	1	1	4	1:1	1	1
9904194716163	9	2	0	2	2	3	2:1	1	1
9904211493377	9	2	1	2	2	1	2:1,3:1	2	2
4398063354884	4	0	1	1	4	4	3:2	2	1
7705204884226	7	2	2	0	3	2	1:1,2:2,0:2	5	3
6601364800259	6	1	0	1	3	3	2:1	1	1
3307158504449	3	2	2	2	4	1	0:1	1	1
10999428022529	10	1	1	0	1	1	3:1	1	1
6605659767554	6	2	0	1	3	2	3:1	1	1
10995116277764	10	0	0	0	0	4	3:1	1	1
8800421675778	8	1	2	2	3	2	2:1,3:3	4	2
6605659702021	6	2	0	0	3	5	1:1	1	1
5501853106946	5	1	0	0	3	2	1:1,2:4,0:3	8	3
5506148205061	5	2	0	2	2	5	3:1	1	1
4398046577152	4	0	0	1	2	0	1:1	1	1
3298551792644	3	0	1	2	4	4	0:1,2:1	2	2
7696598172673	7	0	1	0	4	1	3:1,0:1,2:1	3	3
6605676478724	6	2	1	0	1	4	0:2	2	1
3298535015427	3	0	0	2	4	3	2:1	1	1
6605659702017	6	2	0	0	3	1	0:4,3:2,1:3,2:4	13	4
6601381512451	6	1	1	0	5	3	0:1	1	1
8800421544450	8	1	2	0	2	2	1:2,0:1,2:1	4	3
7705188238082	7	2	1	2	3	2	3:1,0:1	2	2
8804699734275	8	2	1	0	1	3	2:2,3:1,1:2	5	3
9895638270210	9	0	2	1	1	2	3:1,1:2,2:2	5	3
8796109930755	8	0	1	2	1	3	2:2	2	1
4398046511618	4	0	0	0	2	2	2:6,0:2,1:4,3:2	14	4
5506164851201	5	2	1	0	2	1	2:2,0:1	3	2
7696581461251	7	0	0	1	5	3	2:1,0:1	2	2
8796093087745	8	0	0	1	0	1	2:2	2	1
9895621558532	9	0	1	2	1	4	0:2	2	1
3298534949380	3	0	0	1	2	4	2:2	2	1
8804716577029	8	2	2	1	1	5	2:1	1	1
9899933172740	9	1	2	0	4	4	2:1	1	1
5497574916865	5	0	1	0	3	1	3:1	1	1
3298535014913	3	0	0	2	2	1	2:42,3:30,1:37,0:25	134	4
8800421544196	8	1	2	0	1	4	2:1	1	1
9895638204675	9	0	2	0	1	3	2:2,1:2	4	2
10995116344066	10	0	0	1	3	2	2:2,3:1	3	2
9895621559045	9	0	1	2	3	5	3:1	1	1
5497558140164	5	0	0	0	5	4	3:2	2	1
8800404767233	8	1	1	0	2	1	2:3,0:1	4	2
8796126643201	8	0	2	1	4	1	3:1	1	1
7700910047491	7	1	2	2	1	3	0:1,2:1	2	2
7696615015428	7	0	2	1	4	4	1:1	1	1
9899916526338	9	1	1	2	3	2	3:1	1	1
6605676610051	6	2	1	2	2	3	0:1	1	1
7705188107011	7	2	1	0	3	3	3:1,0:1,2:1	3	3
4406670066690	4	2	2	1	4	2	1:1	1	1
8796093153795	8	0	0	2	2	3	3:5,1:4,0:4,2:5	18	4
3302846759682	3	1	1	2	3	2	3:1,0:1	2	2
9899916395777	9	1	1	0	5	1	1:1	1	1
8796126577669	8	0	2	0	4	5	2:1	1	1
10995149832704	10	0	2	0	2	0	3:1	1	1
8796126708994	8	0	2	2	5	2	0:2	2	1
4406653223169	4	2	1	0	1	1	1:1,0:1	2	2
8804683088387	8	2	0	2	2	3	1:2,0:2,3:1,2:7	12	4
10995149963522	10	0	2	2	1	2	0:1,2:2	3	2
6601364734464	6	1	0	0	2	0	1:1	1	1
9904228205059	9	2	2	1	2	3	2:2	2	1
8796126577153	8	0	2	0	2	1	0:4,1:2,2:4	10	3
10999411245316	10	1	0	0	1	4	2:1	1	1
5497591759874	5	0	2	1	4	2	3:1	1	1
7705205014787	7	2	2	2	1	3	0:2,1:3,3:1	6	3
10999444931329	10	1	2	2	3	1	2:1,0:1	2	2
9895604716292	9	0	0	1	3	4	3:1,2:2	3	2
8796093023235	8	0	0	0	4	3	2:1,3:4	5	2
9895604650755	9	0	0	0	3	3	1:4,2:6,0:4,3:2	16	4
7696598237956	7	0	1	1	3	4	0:1	1	1
7696581394689	7	0	0	0	1	1	3:2,1:4	6	2
11003739832833	10	2	2	1	2	1	0:1,1:2,2:1	4	3
3307158504194	3	2	2	2	3	2	2:13,0:4,3:10,1:5	32	4
9899899748865	9	1	0	2	2	1	3:1,2:1,0:1,1:2	5	4
7700909982467	7	1	2	1	3	3	0:1	1	1
9904211493121	9	2	1	2	1	1	0:1,1:2,3:1	4	3
6597103321602	6	0	2	0	2	2	1:2,2:2	4	2
10995116277761	10	0	0	0	0	1	3:1,0:1,2:1,1:1	4	4
5497558138881	5	0	0	0	0	1	1:1,3:1	2	2
2199023256578	2	0	0	0	4	2	1:1,3:3,0:1,2:1	6	4
8796126708481	8	0	2	2	3	1	0:6,1:12,3:4,2:11	33	4
8804716642563	8	2	2	2	1	3	0:1,3:3,1:1,2:2	7	4
9895621558274	9	0	1	2	0	2	0:1	1	1
5506164850947	5	2	1	0	1	3	2:1,3:1	2	2
7705188237827	7	2	1	2	2	3	0:2,2:2,3:1,1:1	6	4
8800421544707	8	1	2	0	3	3	3:1	1	1
6605659702277	6	2	0	0	4	5	2:1	1	1
11003739898882	10	2	2	2	4	2	2:1,1:1	2	2
6597086675201	6	0	1	2	1	1	3:2	2	1
4398046511874	4	0	0	0	3	2	0:1,3:1,2:3	5	3
9904211493892	9	2	1	2	4	4	2:1	1	1
11003722989825	10	2	1	0	1	1	3:1	1	1
7705204883971	7	2	2	0	2	3	1:1,0:2,2:2,3:1	6	4
6605659701760	6	2	0	0	2	0	0:1	1	1
7696598171649	7	0	1	0	0	1	1:1	1	1
2203318354691	2	1	0	2	3	3	2:2	2	1
2199023387138	2	0	0	2	2	2	3:3	3	1
9904228139265	9	2	2	0	1	1	3:1,2:4,0:5,1:4	14	4
6605693387265	6	2	2	2	2	1	2:1,0:1,3:1	3	3
6605659702018	6	2	0	0	3	2	2:2,1:1,3:2	5	3
5506181693956	5	2	2	1	2	4	3:1	1	1
4406636577283	4	2	0	2	2	3	2:1,3:2	3	2
9895638336515	9	0	2	2	4	3	2:1	1	1
3302863405826	3	1	2	0	3	2	3:1	1	1
6597103386881	6	0	2	1	1	1	3:2	2	1
7696598238211	7	0	1	1	4	3	0:1	1	1
3298568569347	3	0	2	2	2	3	2:3,1:1,3:1	5	3
8796109930753	8	0	1	2	1	1	2:2,3:2	4	2
4406636445700	4	2	0	0	0	4	0:1	1	1
4398080066048	4	0	2	0	2	0	1:1,0:1,2:2,3:1	5	4
5497575047428	5	0	1	2	1	4	2:1	1	1
7696615015169	7	0	2	1	3	1	1:2,2:1,3:4	7	3
7705204949248	7	2	2	1	1	0	0:1	1	1
8804682957316	8	2	0	0	2	4	3:1	1	1
3298551726083	3	0	1	1	0	3	3:1	1	1
7705204883968	7	2	2	0	2	0	2:1,1:1,0:1	3	3
8800387990020	8	1	0	0	2	4	3:1,2:1,0:1	3	3
5501853238018	5	1	0	2	3	2	1:2,0:2,2:4	8	3
2199040033795	2	0	1	0	4	3	1:1	1	1
10995116343554	10	0	0	1	1	2	0:1,2:1	2	2
7696581526787	7	0	0	2	5	3	1:1	1	1
6601398419971	6	1	2	2	2	3	3:3,0:1	4	2
6605659832579	6	2	0	2	1	3	1:2,2:1,3:4	7	3
8796093153539	8	0	0	2	1	3	3:1,1:4,0:2,2:5	12	4
5506148205316	5	2	0	2	3	4	2:2,1:3,0:2	7	3
9895621427969	9	0	1	0	3	1	0:1,1:1	2	2
9904194650371	9	2	0	1	1	3	2:1,0:1	2	2
5497558205442	5	0	0	1	4	2	0:1,1:1,2:1	3	3
6597069898496	6	0	0	2	3	0	0:1,2:1,3:1	3	3
4398046511875	4	0	0	0	3	3	2:8,3:2,0:4,1:10	24	4
9904194716161	9	2	0	2	2	1	2:4,3:3,1:1,0:1	9	4
3298568438274	3	0	2	0	2	2	2:2,0:1,3:2,1:1	6	4
5506148205572	5	2	0	2	4	4	1:1,0:2,3:1	4	3
10999411245059	10	1	0	0	0	3	1:1	1	1
4398046511620	4	0	0	0	2	4	2:2,0:1,1:2	5	3
6601364866050	6	1	0	2	4	2	1:1	1	1
7705188106500	7	2	1	0	1	4	2:1,1:1	2	2
7705188106754	7	2	1	0	2	2	0:1,1:1	2	2
7696598172929	7	0	1	0	5	1	1:1,2:1	2	2
7705171330049	7	2	0	0	4	1	0:1,2:2	3	2
5497558139396	5	0	0	0	2	4	1:6,3:2,2:6,0:4	18	4
6597086610435	6	0	1	1	4	3	2:1	1	1
6601398419716	6	1	2	2	1	4	0:3	3	1
5506148205571	5	2	0	2	4	3	3:1,0:1,2:2	4	3
5501853172228	5	1	0	1	2	4	1:1,2:1	2	2
9904228139264	9	2	2	0	1	0	2:2	2	1
5497558138882	5	0	0	0	0	2	0:1,1:1	2	2
4406653223170	4	2	1	0	1	2	3:1,2:1	2	2
6605659833091	6	2	0	2	3	3	1:1,3:1	2	2
10999411377410	10	1	0	2	5	2	2:1	1	1
8796109800192	8	0	1	0	3	0	3:1	1	1
9899933172484	9	1	2	0	3	4	2:1	1	1
4402375033858	4	1	2	0	4	2	1:1	1	1
