hash	edge1	edge2	edge3	ids	idcount	id_unique
4815473902639644672	106	2	1	1	1
13898108453312266240	-7	-17	3	1	1
13898108453313314816	-7	-19	1,3	2	2
4774941506013233152	49	11	2	1	1
13799029261510639616	-1	-18	1,2,2,3	4	3
13967914247545421824	-27	-36	2	1	1
4796333604240097280	72	8	0,2,3,3	4	3
4753549408837042176	31	-0	3	1	1
13938640849968037888	-15	-38	1,2	2	2
4701758014229577728	12	-32	0,2	2	2
13934137250343026688	-14	-47	1,1	2	1
13916122851826466816	-10	-26	0,0,3	3	2
4830955026393071616	139	35	1,2	2	2
4790704104714272768	63	16	0,1,1,1,2,2,3	7	4
13954403448665145344	-21	-43	2	1	1
4788452304900587520	61	16	2	1	1
4710765213472784384	14	-13	0,0,0,1,1,2,2,3	8	4
13956655248479092736	-22	-44	1,2	2	2
4800837203879002112	80	22	2,2,3	3	2
13916122851831185408	-10	-38	2,2,2,3,3,3	6	2
4834614201092669440	152	44	3	1	1
4812096202946904064	100	21	0,0,0,1,1,1,1,2,2,2,2,2,3,3	14	4
4825044051881623552	123	33	2	1	1
4744542210675965952	27	-11	0,3	2	2
13943144449598554112	-16	-50	1	1	1
4817162752527171584	109	20	2,2,2,2	4	1
4810407353087164416	97	22	0,0,1,1,1,1,2,2,2,2,2,3,3,3,3	15	4
4789578204796944384	62	7	0,0,1,3,3,3,3,3	8	3
13945396249405423616	-17	-28	1,2	2	2
4817162752529268736	109	24	1,1,1,1,2,2	6	2
4825607001829015552	124	21	1	1	1
4787326404993744896	60	16	0,1	2	2
4839399275697537024	169	47	0	1	1
4806466703397486592	90	6	1	1	1
4818851602389008384	112	23	2	1	1
13835058058536419328	-2	-31	0,0,0,1,1,1,2,2,2,2,2,2,3,3,3,3,3	17	4
4830392076439912448	137	36	1,1	2	1
4683743615716950016	8	-26	2,2,2,2	4	1
13911619252196999168	-9	-22	2	1	1
4791830004604338176	64	4	3	1	1
3253731328	0	-30	1,1,1,1,2,2	6	2
4828140276625178624	129	32	2	1	1
4819414554452688896	113	-1	1	1	1
4575657224663465984	1	-33	2,2,2,2	4	1
4807029653338324992	91	2	1	1	1
13920626451462225920	-11	-52	1	1	1
4688247215342747648	9	-23	0,1,2,2,2,2,2,3	8	4
4808155553274003456	93	23	0,0,1,1	4	2
4735535011409690624	23	-4	3	1	1
13929633650717491200	-13	-54	1	1	1
13965662447731998720	-26	-37	2,2	2	1
4815473902665859072	106	18	2	1	1
13920626451446497280	-11	-14	0	1	1
13945396249409093632	-17	-38	2	1	1
4726527812163338240	19	-8	1,2,2	3	2
9223372040102739968	-0	-19	3	1	1
13916122851818078208	-10	-13	0	1	1
4833769776161226752	149	39	1,1	2	1
4793518854478233600	67	13	0	1	1
13799029261522960384	-1	-51	1	1	1
13853072457046425600	-3	-32	0,0,0,1,1,1,2,2,2,2,2,3	12	4
4647714818706374656	4	-52	1	1	1
13952151648849100800	-20	-34	2	1	1
4789578204804284416	62	13	0,0,0,1,2,3,3	7	4
4722024212542259200	17	-14	2	1	1
4814910952711913472	105	17	2,2,3	3	2
4706261613857996800	13	-36	1	1	1
4800274253914046464	79	8	1,3	2	2
4710765213474881536	14	-15	0,0,1,1,2,3,3,3,3	9	4
13925130051086450688	-12	-40	1,1,2,3	4	3
4683743615720095744	8	-32	1,2,3	3	3
4801963103783223296	82	17	0,0,1,1,1,1,2,2,2,2,3,3,3	13	4
4801400153827180544	81	14	0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,3,3	17	4
4763682506937466880	39	6	0,3,3	3	2
4674736416470335488	7	-51	1	1	1
4715268813104349184	15	-18	0,0,1,2,2,3	6	4
4749045808127541248	29	1	3,3	2	1
4817162752528220160	109	22	1,1,1,1,2,2,2	7	2
4737786811233861632	24	-10	2	1	1
13853072457046687744	-3	-33	0,0,0,1,1,1,1,2,2,2,2,2,3,3,3	15	4
4798022454109274112	75	17	1,1,2,2,3,3,3	7	3
4819977502298996736	114	29	0,1,2,2,2	5	3
13835058058545070080	-2	-63	1	1	1
4764808406844309504	40	6	0,1	2	2
13929633650717229056	-13	-53	1	1	1
13929633650710151168	-13	-29	0,2	2	2
4674736416461160448	7	-24	0,0,1,1,2,3,3,3	8	4
4795770654297686016	71	21	2	1	1
13985928646059884544	-38	-55	1,1	2	1
13943144449592786944	-16	-30	1	1	1
4701758014223286272	12	-20	0,0,1,1,1,2,2,2,3,3,3,3,3	13	4
4785074605175865344	58	12	1,1,2,3	4	3
4808155553276100608	93	27	0,1	2	2
4804214903597432832	86	18	0,0,0,1,2,2,2,2,3,3,3	11	4
4665729217201176576	6	-15	0,2	2	2
4805903753461891072	89	26	0	1	1
13967914247553417216	-27	-69	1	1	1
4733283211615404032	22	-21	3	1	1
4731031411801194496	21	-20	0,0,2,2	4	2
4828984701556621312	132	37	2,3	2	2
4719772412739059712	16	-32	2,2	2	1
13947648049221992448	-18	-35	2	1	1
